,Date,Unix,Ticker,Debt/Equity Ratio,Stock Price,Stock Percent Change,SP500,SP500 Percent Change,Difference
58,2008-10-08 20:51:28,1223488288.0,aci,0.772,25.11,-18.421052631578952,984.9400019999999,-7.780610648062048,-10.640441983516904
59,2008-12-05 05:35:57,1228444557.0,aci,0.767,11.93,-61.241065627030544,876.070007,-17.97404825569465,-43.267017371335896
60,2004-12-10 06:26:24,1102649184.0,acn,0.023,26.2,0.0,1188.0,0.0,0.0
61,2005-02-10 03:10:56,1107994256.0,acn,0.023,25.51,-2.6335877862595334,1197.01001,0.7584183501683472,-3.392006136427881
62,2005-04-04 05:07:40,1112580460.0,acn,0.023,24.44,-6.717557251908389,1176.119995,-1.0000004208754194,-5.717556831032969
63,2006-08-22 00:50:41,1156197041.0,acn,0.034,28.57,9.045801526717561,1298.819946,9.32827828282829,-0.28247675611072864
64,2006-08-22 06:44:05,1156218245.0,acn,0.034,28.57,9.045801526717561,1298.819946,9.32827828282829,-0.28247675611072864
65,2006-11-02 16:40:55,1162474855.0,acn,0.027,32.96,25.80152671755726,1367.339966,15.095956734006736,10.705569983550523
66,2007-03-14 19:10:39,1173888639.0,acn,0.018,35.39,35.076335877862604,1387.170044,16.765155218855217,18.311180659007388
67,2007-06-05 04:17:34,1181006254.0,acn,0.015,41.24,57.40458015267177,1530.949951,28.867840993265997,28.536739159405773
68,2007-07-06 07:06:36,1183694796.0,acn,0.015,42.81,63.39694656488552,1530.439941,28.824910858585866,34.57203570629965
69,2008-04-07 01:42:51,1207521771.0,acn,0.004,36.77,40.3435114503817,1372.540039,15.533673316498314,24.80983813388338
70,2008-12-02 16:28:13,1228224493.0,acn,0.003,29.98,14.427480916030538,848.8099980000001,-28.551346969696965,42.978827885727505
71,2004-11-12 17:19:37,1100269177.0,adbe,0.0,58.1,0.0,1184.170044,0.0,0.0
72,2005-02-07 16:20:07,1107782407.0,adbe,0.0,63.67,9.586919104991393,1201.719971,1.4820444993455708,8.104874605645822
73,2005-04-05 04:12:22,1112663542.0,adbe,0.0,66.58,14.595524956970735,1181.390015,-0.23476602993683002,14.830290986907565
74,2005-08-31 10:51:30,1125474690.0,adbe,0.0,27.12,-53.32185886402754,1220.329956,3.053608067795378,-56.37546693182292
75,2008-12-04 14:30:57,1228390257.0,adbe,0.08,22.54,-61.204819277108435,845.2199710000001,-28.623429102720984,-32.58139017438745
76,2008-12-05 00:15:55,1228425355.0,adbe,0.08,20.44,-64.81927710843372,876.070007,-26.018225892564455,-38.801051215869265
77,2008-12-17 11:42:55,1229503375.0,adbe,0.08,22.32,-61.58347676419965,904.419983,-23.62414607745304,-37.95933068674661
78,2004-01-20 06:29:18,1074569358.0,adi,0.0,50.5,0.0,1138.77002,0.0,0.0
79,2004-05-12 18:46:27,1084376787.0,adi,0.0,45.04,-10.811881188118813,1097.280029,-3.643403871837083,-7.168477316281729
80,2004-06-22 09:09:13,1087884553.0,adi,0.0,45.03,-10.831683168316829,1134.410034,-0.38286799998474985,-10.448815168332079
81,2004-08-10 02:07:28,1092092848.0,adi,0.0,35.92,-28.87128712871287,1079.040039,-5.24513114597098,-23.62615598274189
82,2004-11-11 09:56:15,1100156175.0,adi,0.0,38.5,-23.762376237623762,1173.47998,3.0480219351050475,-26.81039817272881
83,2005-01-24 03:34:28,1106526868.0,adi,0.0,34.47,-31.742574257425744,1163.75,2.1935930487527298,-33.936167306178476
84,2005-03-17 01:05:45,1111010745.0,adi,0.0,35.92,-28.87128712871287,1190.209961,4.517149213324047,-33.38843634203692
85,2005-04-08 23:33:20,1112992400.0,adi,0.0,35.67,-29.366336633663366,1181.199951,3.725943803824422,-33.09228043748779
86,2005-09-07 23:00:53,1126123253.0,adi,0.0,36.88,-26.970297029702966,1236.359985,8.569769425436764,-35.54006645513973
87,2005-10-31 08:19:48,1130735988.0,adi,0.0,34.61,-31.465346534653467,1207.01001,5.992429445938526,-37.45777598059199
88,2003-11-12 17:41:28,1068648088.0,adm,0.733,14.48,0.0,1058.530029,0.0,0.0
89,2004-04-14 16:44:25,1081950265.0,adm,0.789,16.81,16.091160220994464,1128.170044,6.578936174894283,9.512224046100181
90,2004-11-30 07:08:52,1101787732.0,adm,0.613,21.23,46.61602209944751,1173.819946,10.891511231751752,35.72451086769576
91,2005-01-26 00:58:06,1106690286.0,adm,0.613,22.65,56.42265193370164,1174.069946,10.915128889555579,45.507523044146055
92,2005-02-08 21:21:16,1107886876.0,adm,0.613,23.71,63.74309392265194,1202.300049,13.58204453923904,50.161049383412895
93,2005-02-14 20:39:46,1108402786.0,adm,0.528,24.5,69.1988950276243,1206.140015,13.944808551104405,55.2540864765199
94,2007-02-20 08:05:08,1171947908.0,adm,0.541,35.88,147.79005524861878,1459.680054,37.89689607379101,109.89315917482777
95,2007-03-07 08:11:55,1173244315.0,adm,0.541,32.96,127.62430939226519,1391.969971,31.50028179313938,96.12402759912581
96,2007-04-09 12:40:37,1176111637.0,adm,0.541,37.02,155.66298342541438,1444.609985,36.47321714290261,119.18976628251177
97,2007-06-18 03:24:32,1182126272.0,adm,0.597,34.57,138.74309392265195,1531.050049,44.63926455127518,94.10382937137678
98,2007-06-19 05:10:54,1182219054.0,adm,0.597,34.75,139.98618784530385,1533.699951,44.88960246587393,95.09658537942991
99,2007-10-12 05:57:34,1192157854.0,adm,0.47,34.9,141.0220994475138,1561.800049,47.54423646114624,93.47786298636755
100,2008-01-23 23:14:44,1201119284.0,adm,0.62,40.85,182.11325966850828,1338.599976,26.458384677530955,155.65487499097733
101,2009-01-09 16:47:55,1231508875.0,adm,0.628,27.94,92.95580110497238,890.349976,-15.88807576473582,108.8438768697082
